batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,43.0196
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,42.1854
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,41.3423
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,40.79
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,40.4335
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,40.188
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,39.9708
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,39.8062
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,39.6339
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,39.4602
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,39.2886
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,39.1158
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,38.9384
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,38.7242
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,38.4806
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,38.2292
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,37.9274
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,37.5335
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,37.1379
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,36.7334
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,36.2852
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,35.8231
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,35.3676
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,34.9291
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,34.4226
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,33.9615
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,33.5722
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,33.3424
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,33.0237
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,32.685
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,32.2983
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,32.1076
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,31.7101
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,31.396
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,31.0519
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,31.1972
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,30.622
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,30.8707
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,31.3182
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,31.3418
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,30.9862
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,30.5604
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,30.3492
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,30.1641
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,30.1347
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,29.8121
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,29.4112
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,29.0887
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,28.8864
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,28.7161
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,28.5366
